isoformUpregulated	isoformDownregulated	gene_id	gene_name	condition_1	condition_2
uc001aqu.2	uc001aqr.3	chr1:10093016..10241294,+	UBE4B	THCA_ctrl	THCA_cancer
uc001aqv.3	uc001aqw.3	chr1:10270764..10441659,+	KIF1B	KIRC_ctrl	KIRC_cancer
uc001aqv.3	uc001aqw.3	chr1:10270764..10441659,+	KIF1B	KIRC_ctrl	KIRC_cancer
uc001ara.2	uc001aqv.3	chr1:10270764..10441659,+	KIF1B	PRAD_ctrl	PRAD_cancer
uc001ara.2	uc001aqv.3	chr1:10270764..10441659,+	KIF1B	PRAD_ctrl	PRAD_cancer
uc001are.2	uc001arh.2	chr1:10490159..10512208,+	APITD1	LUSC_ctrl	LUSC_cancer
uc001arn.2	uc009vmv.2	chr1:10535003..10690813,+	PEX14	PRAD_ctrl	PRAD_cancer
uc001arn.2	uc009vmv.2	chr1:10535003..10690813,+	PEX14	PRAD_ctrl	PRAD_cancer
uc001arp.1	uc001aro.2	chr1:10696668..10856707,-	CASZ1	KIRP_ctrl	KIRP_cancer
uc001dvd.1	uc001dvc.3	chr1:107682629..108024471,+	NTNG1	PRAD_ctrl	PRAD_cancer
uc001dvj.1	uc001dvk.1	chr1:108113782..108507545,-	VAV3	LUSC_ctrl	LUSC_cancer
uc001dvj.1	uc001dvk.1	chr1:108113782..108507545,-	VAV3	LUSC_ctrl	LUSC_cancer
uc010ouv.1	uc001dvk.1	chr1:108113782..108507545,-	VAV3	LUSC_ctrl	LUSC_cancer
uc010ouv.1	uc001dvk.1	chr1:108113782..108507545,-	VAV3	LUSC_ctrl	LUSC_cancer
uc010ouv.1	uc001dvk.1	chr1:108113782..108507545,-	VAV3	THCA_ctrl	THCA_cancer
uc010ouv.1	uc001dvk.1	chr1:108113782..108507545,-	VAV3	THCA_ctrl	THCA_cancer
uc001dwe.1	uc009wes.1	chr1:109472130..109506111,-	CLCC1	KICH_ctrl	KICH_cancer
uc001dwe.1	uc009wes.1	chr1:109472130..109506111,-	CLCC1	KICH_ctrl	KICH_cancer
uc001dxu.2	uc010ovn.1	chr1:110036658..110043062,+	CYB561D1	KICH_ctrl	KICH_cancer
uc001dxu.2	uc010ovn.1	chr1:110036658..110043062,+	CYB561D1	KICH_ctrl	KICH_cancer
uc001dyz.1	uc001dza.1	chr1:110574199..110597424,+	FAM40A	COAD_ctrl	COAD_cancer
uc001dzq.1	uc001dzo.1	chr1:110905505..110933636,-	SLC16A4	KICH_ctrl	KICH_cancer
uc001dzq.1	uc001dzo.1	chr1:110905505..110933636,-	SLC16A4	KICH_ctrl	KICH_cancer
